[1/30] train_loss=1.8246 val_acc=0.3984 best_val=0.3984 time=8.5s
[2/30] train_loss=1.6664 val_acc=0.3996 best_val=0.3996 time=7.5s
[3/30] train_loss=1.6015 val_acc=0.3814 best_val=0.3996 time=8.1s
[4/30] train_loss=1.5618 val_acc=0.3972 best_val=0.3996 time=8.0s
[5/30] train_loss=1.5361 val_acc=0.4178 best_val=0.4178 time=7.7s
[6/30] train_loss=1.5126 val_acc=0.3972 best_val=0.4178 time=8.2s
[7/30] train_loss=1.4957 val_acc=0.4176 best_val=0.4178 time=17.0s
[8/30] train_loss=1.4710 val_acc=0.4102 best_val=0.4178 time=14.9s
[9/30] train_loss=1.4590 val_acc=0.4310 best_val=0.4310 time=11.5s
[10/30] train_loss=1.4474 val_acc=0.4114 best_val=0.4310 time=7.7s
[11/30] train_loss=1.4352 val_acc=0.4190 best_val=0.4310 time=8.2s
[12/30] train_loss=1.4278 val_acc=0.4328 best_val=0.4328 time=8.0s
[13/30] train_loss=1.4201 val_acc=0.4296 best_val=0.4328 time=7.8s
[14/30] train_loss=1.4087 val_acc=0.4214 best_val=0.4328 time=17.5s
[15/30] train_loss=1.4043 val_acc=0.4296 best_val=0.4328 time=7.8s
[16/30] train_loss=1.4026 val_acc=0.4264 best_val=0.4328 time=7.7s
[17/30] train_loss=1.4012 val_acc=0.4460 best_val=0.4460 time=7.8s
[18/30] train_loss=1.3855 val_acc=0.4420 best_val=0.4460 time=7.7s
[19/30] train_loss=1.3830 val_acc=0.4368 best_val=0.4460 time=7.9s
[20/30] train_loss=1.3749 val_acc=0.4346 best_val=0.4460 time=8.4s
[21/30] train_loss=1.3688 val_acc=0.4196 best_val=0.4460 time=8.1s
[22/30] train_loss=1.3654 val_acc=0.4338 best_val=0.4460 time=7.8s
[23/30] train_loss=1.3631 val_acc=0.4190 best_val=0.4460 time=7.6s
[24/30] train_loss=1.3592 val_acc=0.4154 best_val=0.4460 time=7.6s
[25/30] train_loss=1.3535 val_acc=0.4268 best_val=0.4460 time=7.5s
[26/30] train_loss=1.3487 val_acc=0.4234 best_val=0.4460 time=7.6s
[27/30] train_loss=1.3473 val_acc=0.4202 best_val=0.4460 time=8.4s
[28/30] train_loss=1.3460 val_acc=0.4302 best_val=0.4460 time=8.4s
[29/30] train_loss=1.3389 val_acc=0.4360 best_val=0.4460 time=8.2s
[30/30] train_loss=1.3396 val_acc=0.4338 best_val=0.4460 time=7.8s
Loaded best checkpoint from epoch 17 with val_acc=0.4460
Test accuracy: 0.4493
