[1/30] train_loss=0.9087 val_acc=0.7730 best_val=0.7730 time=19.9s
[2/30] train_loss=0.5568 val_acc=0.8328 best_val=0.8328 time=28.3s
[3/30] train_loss=0.4533 val_acc=0.8526 best_val=0.8526 time=18.2s
[4/30] train_loss=0.3887 val_acc=0.8384 best_val=0.8526 time=37.7s
[5/30] train_loss=0.3422 val_acc=0.8836 best_val=0.8836 time=17.4s
[6/30] train_loss=0.3032 val_acc=0.8798 best_val=0.8836 time=13.1s
[7/30] train_loss=0.2808 val_acc=0.8848 best_val=0.8848 time=28.4s
[8/30] train_loss=0.2586 val_acc=0.8982 best_val=0.8982 time=18.0s
[9/30] train_loss=0.2277 val_acc=0.9004 best_val=0.9004 time=18.3s
[10/30] train_loss=0.2121 val_acc=0.9016 best_val=0.9016 time=18.2s
[11/30] train_loss=0.1972 val_acc=0.8960 best_val=0.9016 time=18.1s
[12/30] train_loss=0.1882 val_acc=0.9088 best_val=0.9088 time=23.1s
[13/30] train_loss=0.1730 val_acc=0.9116 best_val=0.9116 time=18.3s
[14/30] train_loss=0.1608 val_acc=0.9106 best_val=0.9116 time=18.0s
[15/30] train_loss=0.1511 val_acc=0.9088 best_val=0.9116 time=18.4s
[16/30] train_loss=0.1414 val_acc=0.9140 best_val=0.9140 time=18.1s
[17/30] train_loss=0.1240 val_acc=0.9118 best_val=0.9140 time=17.7s
[18/30] train_loss=0.1201 val_acc=0.9166 best_val=0.9166 time=18.6s
[19/30] train_loss=0.1260 val_acc=0.9002 best_val=0.9166 time=16.3s
[20/30] train_loss=0.1073 val_acc=0.9208 best_val=0.9208 time=18.0s
[21/30] train_loss=0.0958 val_acc=0.9068 best_val=0.9208 time=18.5s
[22/30] train_loss=0.0966 val_acc=0.9222 best_val=0.9222 time=18.4s
[23/30] train_loss=0.0917 val_acc=0.9220 best_val=0.9222 time=18.1s
[24/30] train_loss=0.0823 val_acc=0.9226 best_val=0.9226 time=18.0s
[25/30] train_loss=0.0808 val_acc=0.9200 best_val=0.9226 time=20.3s
[26/30] train_loss=0.0769 val_acc=0.9158 best_val=0.9226 time=18.1s
[27/30] train_loss=0.0763 val_acc=0.9214 best_val=0.9226 time=18.0s
[28/30] train_loss=0.0757 val_acc=0.9218 best_val=0.9226 time=18.3s
[29/30] train_loss=0.0675 val_acc=0.9232 best_val=0.9232 time=18.2s
[30/30] train_loss=0.0624 val_acc=0.9258 best_val=0.9258 time=18.3s
Loaded best checkpoint from epoch 30 with val_acc=0.9258
Test accuracy: 0.9260
